rak,pak,mae,k
0, 0, 0, 0
0.001822916666666666767858869430, 0.007905505952380952380952380952, 0, 2
0.01227678571428571495688705898, 0.01808965773809523772351163585, 0, 4
0.01488095238095238173713681035, 0.01897941468253968235244254532, 0, 6
0.01860119047619047715076954295, 0.01881211468962585006447580807, 0, 8
0.02209821428571428676544553452, 0.01861797583616780024106028359, 0, 10
0.02526041666666666783140957161, 0.02182965657854050685417851831, 0, 12
0.02898065476190476321406509933, 0.02477316386077546766586801587, 0, 14
0.03180803571428571577262012186, 0.02697953764778541538735884805, 0, 16
0.03411458333333333486567240337, 0.02900311474932338867307632642, 0, 18
